Name,playerId,team,PA,AB,primaryPOS,TB,isQualified,OPS,AVG,OBP,SLG,K%,BB%,Whiff%,SwStr%,FB%,GB%,LD%,SB%,BABIP,OPS_percentile,AVG_percentile,OBP_percentile,SLG_percentile,K%_percentile,BB%_percentile,Whiff%_percentile,SwStr%_percentile,FB%_percentile,GB%_percentile,LD%_percentile,SB%_percentile,BABIP_percentile
Wendell Rijo,620442,VER,108,94,2B,27,False,0.592,0.234,0.305,0.287,16.7,8.3,18.8,42.4,23.8,61.3,7.5,40.0,0.276,22.0,29.0,27.0,21.0,35.0,44.0,20.0,17.0,29.0,92.0,9.0,23.0,25.0
Ricardo Serrano,495664,CAM,192,172,2B,55,True,0.592,0.203,0.272,0.32,24.5,7.8,28.5,52.8,39.1,40.6,9.4,0.0,0.246,22.0,20.0,17.0,27.0,70.0,40.0,66.0,80.0,89.0,28.0,12.0,7.0,17.0
Jacob Nottingham,641924,JAL,138,119,C,39,False,0.589,0.168,0.261,0.328,39.9,8.7,44.9,48.4,35.8,44.8,10.4,50.0,0.242,21.0,12.0,14.0,29.0,93.0,48.0,97.0,54.0,85.0,48.0,15.0,32.0,16.0
Malquin Canelo,622541,VER,21,20,SS,7,False,0.588,0.2,0.238,0.35,47.6,4.8,35.0,51.3,20.0,40.0,30.0,,0.4,21.0,18.0,10.0,36.0,97.0,17.0,85.0,71.0,17.0,27.0,96.0,,90.0
Alejandro Flores,642299,DUR,147,127,C,39,False,0.585,0.189,0.278,0.307,22.4,10.2,28.4,50.1,32.7,36.7,16.3,50.0,0.228,21.0,15.0,18.0,23.0,61.0,61.0,65.0,66.0,72.0,17.0,39.0,32.0,13.0
Marco Guzman,622398,CAM,9,8,2B,2,False,0.583,0.25,0.333,0.25,33.3,0.0,28.6,56.8,20.0,20.0,40.0,,0.4,21.0,39.0,46.0,15.0,88.0,3.0,66.0,93.0,17.0,2.0,99.0,,90.0
Luis Carlos Martinez,811419,SLT,9,8,IF,2,False,0.583,0.25,0.333,0.25,33.3,0.0,31.2,44.4,40.0,60.0,0.0,,0.4,21.0,39.0,46.0,15.0,88.0,3.0,76.0,28.0,91.0,90.0,3.0,,90.0
Drew Mendoza,666141,CHI,38,34,3B,9,False,0.581,0.235,0.316,0.265,15.8,10.5,29.4,49.3,7.1,64.3,25.0,,0.286,20.0,29.0,35.0,17.0,31.0,64.0,68.0,61.0,3.0,93.0,90.0,,29.0
Carlos Mendivil,641104,DUR,95,88,C,29,False,0.577,0.227,0.247,0.33,16.8,3.2,19.4,49.5,23.7,63.2,9.2,0.0,0.26,20.0,27.0,11.0,29.0,36.0,10.0,23.0,62.0,28.0,93.0,11.0,7.0,21.0
Santiago Gonzalez,477453,DUR,61,57,CF,16,False,0.576,0.246,0.295,0.281,21.3,4.9,26.8,52.8,20.5,47.7,22.7,0.0,0.318,20.0,35.0,24.0,20.0,55.0,18.0,56.0,80.0,18.0,60.0,83.0,7.0,47.0
Orlando Pina,669315,PUE,80,63,C,15,False,0.576,0.175,0.338,0.238,20.0,17.5,26.5,35.1,54.2,35.4,6.2,0.0,0.213,20.0,13.0,49.0,14.0,51.0,97.0,55.0,1.0,98.0,15.0,9.0,7.0,9.0
Christopher Gastelum,806591,JAL,119,105,IF,30,False,0.574,0.2,0.288,0.286,21.0,9.2,23.2,45.6,17.3,58.0,14.8,33.3,0.244,19.0,18.0,20.0,21.0,54.0,53.0,40.0,37.0,9.0,87.0,32.0,20.0,16.0
Narciso Crook,643271,TIG,26,23,OF,7,False,0.573,0.174,0.269,0.304,26.9,11.5,26.7,44.1,25.0,37.5,18.8,100.0,0.2,19.0,12.0,16.0,23.0,76.0,73.0,56.0,27.0,33.0,18.0,60.0,88.0,7.0
Antonio Monroy,802572,TIG,117,107,SP,29,False,0.573,0.243,0.302,0.271,17.1,5.1,18.3,54.2,25.0,50.0,19.3,100.0,0.299,19.0,34.0,26.0,18.0,38.0,19.0,18.0,86.0,33.0,68.0,64.0,88.0,35.0
Juan Rodriguez,650909,DUR,115,101,3B,28,False,0.564,0.198,0.287,0.277,30.4,8.7,29.6,49.4,23.9,50.7,22.4,100.0,0.288,19.0,17.0,20.0,20.0,84.0,48.0,69.0,61.0,29.0,71.0,82.0,88.0,30.0
Luis Santos,676021,MTY,48,40,2B,10,False,0.563,0.175,0.313,0.25,33.3,8.3,41.5,43.9,25.0,54.2,16.7,100.0,0.292,18.0,13.0,32.0,15.0,88.0,44.0,96.0,26.0,33.0,80.0,42.0,88.0,32.0
Jose Sermo,572127,DUR,34,31,2B,11,False,0.561,0.129,0.206,0.355,32.4,5.9,26.8,42.1,35.0,55.0,5.0,,0.111,18.0,5.0,7.0,37.0,86.0,26.0,56.0,15.0,82.0,82.0,8.0,,3.0
Yonathan Mendoza,606216,LEO,14,10,IF,2,False,0.557,0.2,0.357,0.2,7.1,21.4,18.8,34.0,20.0,60.0,10.0,100.0,0.2,18.0,18.0,59.0,10.0,2.0,98.0,20.0,1.0,17.0,90.0,14.0,88.0,7.0
Joshua Rodriguez,446044,LAR,28,26,3B,7,False,0.555,0.231,0.286,0.269,42.9,7.1,28.8,46.1,28.6,42.9,21.4,,0.429,17.0,28.0,19.0,18.0,95.0,35.0,68.0,41.0,54.0,38.0,76.0,,95.0
Breyvic Valera,591971,TIJ,38,31,LF,8,False,0.555,0.194,0.297,0.258,7.9,13.2,12.5,32.0,30.0,43.3,16.7,100.0,0.207,17.0,16.0,24.0,16.0,3.0,84.0,4.0,0.0,64.0,41.0,42.0,88.0,9.0
Diego Rincones,665651,CAM,61,54,OF,13,False,0.552,0.222,0.311,0.241,13.1,9.8,19.2,45.6,19.6,47.8,19.6,,0.261,17.0,25.0,30.0,14.0,17.0,57.0,22.0,37.0,14.0,60.0,66.0,,22.0
Daniel Amaral,663610,MVA,109,93,CF,23,False,0.549,0.204,0.302,0.247,20.2,10.1,22.5,43.6,27.0,56.8,9.5,94.4,0.257,17.0,20.0,26.0,14.0,52.0,60.0,36.0,24.0,46.0,86.0,12.0,75.0,21.0
Fernando Flores,603877,VER,67,62,C,18,False,0.548,0.21,0.258,0.29,11.9,6.0,20.8,53.7,20.0,56.4,16.4,,0.241,17.0,22.0,14.0,22.0,12.0,27.0,28.0,84.0,17.0,85.0,40.0,,15.0
Joshua Fuentes,658069,YUC,264,245,3B,71,True,0.545,0.208,0.255,0.29,22.7,4.5,26.4,54.7,33.0,39.4,17.0,50.0,0.261,16.0,22.0,13.0,22.0,62.0,16.0,54.0,88.0,73.0,25.0,45.0,32.0,22.0
Engel Beltre,520976,CAM,68,60,OF,16,False,0.536,0.183,0.269,0.267,19.1,8.8,21.1,55.0,29.8,53.2,8.5,33.3,0.234,16.0,14.0,16.0,18.0,47.0,49.0,30.0,89.0,62.0,77.0,11.0,20.0,14.0
Kevin Vicuña,660631,TIG,39,36,1B,10,False,0.534,0.194,0.256,0.278,12.8,5.1,19.4,52.8,48.4,22.6,16.1,75.0,0.226,16.0,16.0,13.0,20.0,15.0,19.0,23.0,80.0,97.0,3.0,38.0,60.0,12.0
Dilson Herrera,599096,VER,58,49,2B,13,False,0.533,0.204,0.268,0.265,22.4,8.6,28.1,49.1,32.5,42.5,15.0,,0.263,16.0,20.0,16.0,17.0,61.0,47.0,63.0,59.0,72.0,37.0,32.0,,22.0
Alonzo Harris,518770,LAR,81,67,OF,16,False,0.527,0.164,0.288,0.239,19.8,14.8,23.8,39.8,34.0,43.4,11.3,62.5,0.196,15.0,11.0,20.0,14.0,50.0,92.0,43.0,7.0,78.0,42.0,17.0,45.0,6.0
Luis Medina,653414,LEO,55,53,SS,15,False,0.524,0.226,0.241,0.283,36.4,0.0,34.7,65.6,32.4,41.2,14.7,50.0,0.364,15.0,26.0,11.0,21.0,91.0,3.0,84.0,99.0,71.0,30.0,31.0,32.0,75.0
Juan Haro,698880,TIG,12,11,C,3,False,0.523,0.182,0.25,0.273,58.3,8.3,54.5,42.3,0.0,75.0,25.0,,0.5,15.0,14.0,12.0,19.0,99.0,44.0,99.0,16.0,1.0,98.0,90.0,,99.0
Irving Lopez,676761,PUE,62,57,2B,17,False,0.522,0.211,0.224,0.298,8.1,1.6,14.7,53.4,35.7,39.3,10.7,,0.216,15.0,22.0,9.0,22.0,3.0,7.0,7.0,82.0,84.0,25.0,15.0,,11.0
Roldani Baldwin,650380,VER,53,48,C,13,False,0.521,0.188,0.25,0.271,37.7,7.5,45.5,55.0,27.6,37.9,24.1,0.0,0.296,14.0,15.0,12.0,18.0,92.0,38.0,97.0,89.0,49.0,19.0,86.0,7.0,34.0
Randy Trejo,811435,TIG,60,56,IF,13,False,0.515,0.232,0.283,0.232,40.0,6.7,35.2,54.3,6.2,68.8,25.0,50.0,0.406,14.0,28.0,18.0,13.0,93.0,32.0,86.0,87.0,3.0,96.0,90.0,32.0,92.0
José Briceño,593993,MEX,162,148,C,38,False,0.513,0.203,0.256,0.257,17.9,5.6,25.3,47.7,21.3,48.4,15.6,,0.244,14.0,20.0,13.0,16.0,42.0,23.0,50.0,50.0,20.0,63.0,35.0,,16.0
Lewis Brinson,621446,AGS,34,28,CF,6,False,0.508,0.143,0.294,0.214,38.2,17.6,40.4,44.9,13.3,46.7,20.0,0.0,0.267,14.0,7.0,23.0,11.0,92.0,97.0,94.0,31.0,5.0,56.0,69.0,7.0,23.0
Francisco Lugo,546366,TAB,38,37,RF,10,False,0.507,0.216,0.237,0.27,10.5,2.6,18.5,52.0,18.2,48.5,18.2,,0.242,13.0,24.0,9.0,18.0,8.0,9.0,19.0,75.0,10.0,63.0,55.0,,16.0
Jose Luna,624933,VER,17,13,2B,2,False,0.507,0.154,0.353,0.154,41.2,17.6,40.5,48.7,33.3,66.7,0.0,0.0,0.333,13.0,9.0,57.0,6.0,94.0,97.0,94.0,56.0,76.0,95.0,3.0,7.0,59.0
Daniel Sanchez,616570,CAM,61,59,C,15,False,0.504,0.237,0.25,0.254,16.4,1.6,17.6,67.3,36.0,36.0,10.0,,0.286,13.0,31.0,12.0,16.0,34.0,7.0,15.0,100.0,85.0,16.0,14.0,,29.0
Khalil Lee,666137,CHI,15,13,CF,3,False,0.498,0.154,0.267,0.231,6.7,13.3,30.0,45.5,50.0,33.3,8.3,,0.167,13.0,9.0,16.0,12.0,2.0,85.0,71.0,35.0,97.0,11.0,10.0,,5.0
Yordi Martinez,823942,CAM,34,30,OF,7,False,0.498,0.167,0.265,0.233,44.1,11.8,38.0,53.4,40.0,46.7,6.7,100.0,0.333,13.0,11.0,15.0,13.0,96.0,76.0,89.0,82.0,91.0,56.0,9.0,88.0,59.0
Jonathan Mendoza,824271,CAM,121,117,2B,29,False,0.488,0.222,0.24,0.248,29.8,1.7,27.8,52.6,19.5,67.1,8.5,100.0,0.317,12.0,25.0,10.0,15.0,83.0,8.0,61.0,78.0,14.0,96.0,11.0,88.0,46.0
Alejandro Urias,703060,DUR,31,28,C,8,False,0.486,0.143,0.2,0.286,22.6,3.2,27.3,46.2,36.4,40.9,13.6,,0.19,12.0,7.0,6.0,21.0,62.0,10.0,59.0,42.0,86.0,29.0,27.0,,6.0
Mario Feliciano,666128,PUE,72,63,C,15,False,0.481,0.159,0.243,0.238,27.8,5.6,23.6,52.2,31.1,42.2,13.3,100.0,0.214,12.0,10.0,11.0,14.0,79.0,23.0,42.0,76.0,66.0,35.0,24.0,88.0,10.0
Ronny Rodríguez,500135,CAM,50,46,SS,12,False,0.481,0.152,0.22,0.261,30.0,6.0,27.9,50.0,41.9,32.3,9.7,,0.2,12.0,9.0,8.0,16.0,83.0,27.0,61.0,64.0,94.0,8.0,13.0,,7.0
Yefri Pérez,570639,LEO,78,73,SS,17,False,0.48,0.219,0.247,0.233,12.8,3.8,16.4,53.2,23.1,63.1,9.2,100.0,0.25,11.0,25.0,11.0,13.0,15.0,12.0,10.0,81.0,27.0,93.0,11.0,88.0,18.0
Wilson Garcia,600902,AGS,54,51,1B,14,False,0.479,0.176,0.204,0.275,22.2,3.7,28.7,63.5,42.5,45.0,12.5,,0.205,11.0,13.0,7.0,19.0,60.0,12.0,67.0,97.0,95.0,49.0,20.0,,8.0
Channy Ortiz,671495,CHI,9,7,3B,1,False,0.476,0.143,0.333,0.143,22.2,22.2,11.1,46.2,40.0,60.0,0.0,,0.2,11.0,7.0,46.0,5.0,60.0,99.0,2.0,42.0,91.0,90.0,3.0,,7.0
Emiliano Valencia,814028,TAB,9,7,IF,1,False,0.476,0.143,0.333,0.143,0.0,22.2,0.0,39.4,0.0,85.7,14.3,,0.143,11.0,7.0,46.0,5.0,0.0,99.0,0.0,6.0,1.0,99.0,29.0,,4.0
Hans Wilson,542328,AGS,11,10,C,2,False,0.473,0.2,0.273,0.2,27.3,9.1,30.0,55.6,28.6,42.9,14.3,,0.286,10.0,18.0,17.0,10.0,77.0,52.0,71.0,90.0,54.0,38.0,29.0,,29.0
Logan Brown,682204,SLT,90,82,C,19,False,0.471,0.183,0.239,0.232,23.3,5.6,30.5,60.0,22.2,60.3,14.3,100.0,0.246,10.0,14.0,10.0,13.0,65.0,23.0,72.0,96.0,23.0,91.0,29.0,88.0,17.0
Carlos Baez,828390,JAL,35,33,2B,7,False,0.469,0.212,0.257,0.212,37.1,2.9,27.9,56.7,15.0,80.0,5.0,0.0,0.35,10.0,23.0,14.0,11.0,91.0,10.0,61.0,92.0,6.0,98.0,8.0,7.0,69.0
Max Murphy,656782,SLT,23,20,OF,4,False,0.461,0.15,0.261,0.2,21.7,13.0,38.8,50.0,26.7,60.0,13.3,0.0,0.2,10.0,9.0,14.0,10.0,57.0,83.0,91.0,64.0,44.0,90.0,24.0,7.0,7.0
Hansen Lopez,678405,CHI,42,36,C,7,False,0.456,0.139,0.262,0.194,42.9,11.9,49.5,53.2,27.8,38.9,16.7,,0.278,9.0,7.0,15.0,8.0,95.0,77.0,98.0,81.0,50.0,23.0,42.0,,26.0
Jorge Morales,811620,SLT,7,6,C,1,False,0.453,0.167,0.286,0.167,28.6,0.0,31.2,64.0,25.0,25.0,0.0,,0.25,9.0,11.0,19.0,7.0,80.0,3.0,76.0,98.0,33.0,4.0,3.0,,18.0
Courtney Hawkins,621445,PUE,28,25,OF,5,False,0.45,0.16,0.25,0.2,46.4,10.7,39.6,51.0,16.7,33.3,33.3,,0.333,9.0,10.0,12.0,10.0,97.0,65.0,93.0,70.0,7.0,11.0,97.0,,59.0
Javier Sanchez,676020,DUR,27,23,SS,5,False,0.448,0.13,0.231,0.217,33.3,11.1,39.5,40.6,26.7,53.3,13.3,,0.214,9.0,6.0,9.0,11.0,88.0,69.0,93.0,10.0,44.0,78.0,24.0,,10.0
Omar Renteria,596671,MTY,60,49,C,9,False,0.447,0.143,0.263,0.184,31.7,13.3,39.2,42.9,33.3,48.5,15.2,,0.233,8.0,7.0,15.0,8.0,85.0,85.0,92.0,20.0,76.0,63.0,34.0,,14.0
Walter Ibarra,503429,YUC,34,32,SS,7,False,0.431,0.188,0.212,0.219,23.5,2.9,27.0,55.8,28.0,48.0,24.0,,0.25,8.0,15.0,8.0,12.0,66.0,10.0,58.0,91.0,51.0,62.0,86.0,,18.0
Jesus Fabela,652999,MEX,10,9,RF,2,False,0.422,0.111,0.2,0.222,30.0,10.0,18.8,43.2,83.3,16.7,0.0,,0.167,8.0,4.0,6.0,12.0,83.0,59.0,20.0,22.0,100.0,2.0,3.0,,5.0
Carlos Villegas,802394,CAM,75,67,P,11,False,0.404,0.164,0.24,0.164,22.7,4.0,18.2,55.4,35.3,56.9,2.0,50.0,0.216,8.0,11.0,10.0,6.0,62.0,13.0,18.0,89.0,83.0,86.0,7.0,32.0,11.0
Abiel Amador,815328,AGS,5,5,OF,1,False,0.4,0.2,0.2,0.2,40.0,0.0,45.5,61.1,0.0,100.0,0.0,,0.333,7.0,18.0,6.0,10.0,93.0,3.0,97.0,96.0,1.0,100.0,3.0,,59.0
Alex Robles,675970,CAM,10,10,RF,2,False,0.4,0.2,0.2,0.2,10.0,0.0,6.7,45.5,22.2,55.6,11.1,,0.222,7.0,18.0,6.0,10.0,6.0,3.0,1.0,35.0,23.0,83.0,17.0,,12.0
Dillon Thomas,605504,OAX,8,7,LF,1,False,0.393,0.143,0.25,0.143,62.5,12.5,60.0,42.9,0.0,100.0,0.0,,0.5,7.0,7.0,12.0,5.0,100.0,80.0,99.0,20.0,1.0,100.0,3.0,,99.0
Alay Lago,667605,TIG,29,28,2B,5,False,0.386,0.179,0.207,0.179,13.8,0.0,20.0,54.3,25.0,50.0,16.7,,0.208,7.0,13.0,8.0,7.0,22.0,3.0,25.0,87.0,33.0,68.0,42.0,,9.0
Marcus Chiu,676722,TIG,12,9,2B,1,False,0.384,0.111,0.273,0.111,41.7,16.7,47.8,44.2,40.0,40.0,20.0,100.0,0.25,7.0,4.0,17.0,4.0,95.0,95.0,98.0,27.0,91.0,27.0,69.0,88.0,18.0
Yeison Coca,665883,YUC,96,90,3B,19,False,0.374,0.144,0.163,0.211,29.2,2.1,29.0,50.5,7.6,74.2,12.1,75.0,0.197,6.0,8.0,5.0,11.0,82.0,8.0,68.0,68.0,4.0,97.0,19.0,60.0,6.0
German Revilla,680365,TIG,31,29,C,5,False,0.366,0.138,0.194,0.172,38.7,3.2,40.9,50.4,11.8,64.7,17.6,,0.235,6.0,6.0,6.0,7.0,92.0,10.0,95.0,67.0,4.0,94.0,50.0,,14.0
Jose Orrantia,803125,JAL,29,25,OF,3,False,0.361,0.12,0.241,0.12,41.4,13.8,35.3,42.9,46.2,30.8,7.7,,0.231,6.0,5.0,11.0,4.0,94.0,89.0,86.0,20.0,96.0,7.0,10.0,,13.0
Noah Perio,573087,TIG,38,38,2B,7,False,0.342,0.158,0.158,0.184,21.1,0.0,24.4,53.6,33.3,50.0,16.7,100.0,0.2,6.0,10.0,4.0,8.0,54.0,3.0,46.0,83.0,76.0,68.0,42.0,88.0,7.0
Luis García,677593,DUR,50,45,SS,6,False,0.337,0.133,0.204,0.133,30.0,8.0,24.5,45.4,29.0,51.6,6.5,50.0,0.2,5.0,6.0,7.0,4.0,83.0,41.0,47.0,35.0,56.0,74.0,9.0,32.0,7.0
Ismael Alcantara,672882,AGS,6,6,OF,1,False,0.334,0.167,0.167,0.167,50.0,0.0,38.5,65.0,33.3,66.7,0.0,100.0,0.333,5.0,11.0,5.0,7.0,98.0,3.0,90.0,99.0,76.0,95.0,3.0,88.0,59.0
Manuel Melendez,650513,VER,6,6,CF,1,False,0.334,0.167,0.167,0.167,33.3,0.0,18.8,64.0,0.0,50.0,0.0,,0.25,5.0,11.0,5.0,7.0,88.0,3.0,20.0,98.0,1.0,68.0,3.0,,18.0
Carlos Pacheco,672378,CHI,28,27,OF,5,False,0.328,0.111,0.143,0.185,46.4,3.6,53.3,49.2,28.6,50.0,0.0,100.0,0.214,5.0,4.0,4.0,8.0,97.0,11.0,99.0,60.0,54.0,68.0,3.0,88.0,10.0
David Washington,572241,SLT,16,15,1B,2,False,0.321,0.133,0.188,0.133,68.8,6.3,62.2,58.7,0.0,50.0,50.0,,0.5,4.0,6.0,6.0,4.0,100.0,29.0,100.0,94.0,1.0,68.0,99.0,,99.0
Maikol Perez,827662,TIG,16,16,OF,3,False,0.313,0.125,0.125,0.188,43.8,0.0,33.3,54.1,22.2,22.2,33.3,0.0,0.222,4.0,5.0,3.0,8.0,96.0,3.0,82.0,85.0,23.0,3.0,97.0,7.0,12.0
Isboseth Morales,823941,CAM,7,7,OF,1,False,0.286,0.143,0.143,0.143,28.6,0.0,33.3,45.0,40.0,60.0,0.0,,0.2,4.0,7.0,4.0,5.0,80.0,3.0,82.0,33.0,91.0,90.0,3.0,,7.0
Alan Lopez,674706,LEO,17,15,1B,1,False,0.243,0.067,0.176,0.067,41.2,11.8,29.6,42.9,12.5,75.0,0.0,0.0,0.125,4.0,3.0,5.0,3.0,94.0,76.0,69.0,20.0,5.0,98.0,3.0,7.0,4.0
Jorge Rivera,701033,TIG,31,30,IF,3,False,0.229,0.1,0.129,0.1,29.0,3.2,16.7,49.5,23.8,71.4,4.8,100.0,0.143,3.0,4.0,4.0,4.0,81.0,10.0,12.0,62.0,29.0,97.0,7.0,88.0,4.0
Shane Skelly,825747,TIG,34,32,IF,2,False,0.181,0.063,0.118,0.063,70.6,5.9,71.0,58.5,12.5,75.0,12.5,,0.25,3.0,3.0,3.0,3.0,100.0,26.0,100.0,94.0,5.0,98.0,20.0,,18.0
Ivan Morales,823976,LEO,8,7,C,0,False,0.125,0.0,0.125,0.0,37.5,12.5,26.3,55.9,75.0,0.0,0.0,,0.0,3.0,2.0,3.0,2.0,91.0,80.0,54.0,91.0,100.0,1.0,3.0,,2.0
Braulio Cavero,824007,MVA,10,9,OF,0,False,0.1,0.0,0.1,0.0,50.0,10.0,39.1,54.8,25.0,25.0,0.0,,0.0,3.0,2.0,3.0,2.0,98.0,59.0,92.0,88.0,33.0,4.0,3.0,,2.0
Gael Guzman,808937,LAG,11,10,C,0,False,0.091,0.0,0.091,0.0,27.3,9.1,25.9,61.4,14.3,85.7,0.0,,0.0,2.0,2.0,2.0,2.0,77.0,52.0,52.0,97.0,6.0,99.0,3.0,,2.0
Eduardo Arredono Jr.,828459,CAM,7,7,SS,0,False,0.0,0.0,0.0,0.0,28.6,0.0,27.3,64.7,60.0,20.0,20.0,,0.0,1.0,2.0,1.0,2.0,80.0,3.0,59.0,99.0,98.0,2.0,69.0,,2.0
Ivan Chavez,692442,VER,9,9,IF,0,False,0.0,0.0,0.0,0.0,44.4,0.0,26.3,50.0,20.0,80.0,0.0,,0.0,1.0,2.0,1.0,2.0,97.0,3.0,54.0,64.0,17.0,98.0,3.0,,2.0
Bryan Corral,816260,MVA,5,5,OF,0,False,0.0,0.0,0.0,0.0,20.0,0.0,22.2,60.0,25.0,75.0,0.0,,0.0,1.0,2.0,1.0,2.0,51.0,3.0,35.0,96.0,33.0,98.0,3.0,,2.0
Jesus Higuera,828332,CAM,6,6,2B,0,False,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,33.3,33.3,0.0,,0.0,1.0,2.0,1.0,2.0,98.0,3.0,98.0,64.0,76.0,11.0,3.0,,2.0
Shed Long Jr.,643418,TAB,6,6,2B,0,False,0.0,0.0,0.0,0.0,16.7,0.0,14.3,43.8,0.0,100.0,0.0,,0.0,1.0,2.0,1.0,2.0,35.0,3.0,6.0,25.0,1.0,100.0,3.0,,2.0
Elmer Lopez,696115,DUR,7,7,OF,0,False,0.0,0.0,0.0,0.0,57.1,0.0,33.3,34.6,33.3,66.7,0.0,,0.0,1.0,2.0,1.0,2.0,99.0,3.0,82.0,1.0,76.0,95.0,3.0,,2.0
Gersel Pitre,649957,PUE,6,6,C,0,False,0.0,0.0,0.0,0.0,16.7,0.0,20.0,50.0,40.0,40.0,0.0,,0.0,1.0,2.0,1.0,2.0,35.0,3.0,25.0,64.0,91.0,27.0,3.0,,2.0
Gustavo Ruiz,678411,JAL,7,7,C,0,False,0.0,0.0,0.0,0.0,28.6,0.0,44.4,78.3,40.0,20.0,0.0,,0.0,1.0,2.0,1.0,2.0,80.0,3.0,96.0,100.0,91.0,2.0,3.0,,2.0
Marcos Valenzuela,825580,LAR,6,6,SS,0,False,0.0,0.0,0.0,0.0,0.0,0.0,14.3,38.9,16.7,83.3,0.0,,0.0,1.0,2.0,1.0,2.0,0.0,3.0,6.0,5.0,7.0,99.0,3.0,,2.0
