Name,playerId,team,PA,AB,primaryPOS,TB,isQualified,OPS,AVG,OBP,SLG,K%,BB%,Whiff%,SwStr%,FB%,GB%,LD%,SB%,BABIP,OPS_percentile,AVG_percentile,OBP_percentile,SLG_percentile,K%_percentile,BB%_percentile,Whiff%_percentile,SwStr%_percentile,FB%_percentile,GB%_percentile,LD%_percentile,SB%_percentile,BABIP_percentile
Manny Olloque,657705,TIG,122,101,3B,41,False,0.791,0.257,0.385,0.406,27.0,16.4,35.8,36.9,39.7,29.4,25.0,50.0,0.364,61.0,45.0,76.0,52.0,76.0,95.0,87.0,2.0,90.0,6.0,90.0,32.0,75.0
Carlos Peguero,451713,VER,23,20,LF,8,False,0.791,0.3,0.391,0.4,47.8,13.0,38.6,39.3,66.7,33.3,0.0,,0.667,61.0,73.0,80.0,50.0,98.0,83.0,91.0,5.0,99.0,11.0,3.0,,100.0
Francisco Peguero,501317,TAB,307,290,LF,132,True,0.791,0.297,0.336,0.455,16.3,3.9,19.1,52.0,21.7,54.2,17.1,50.0,0.33,61.0,70.0,47.0,69.0,33.0,13.0,21.0,75.0,22.0,80.0,46.0,32.0,56.0
Reynaldo Rodriguez,471906,OAX,365,330,1B,157,True,0.791,0.255,0.315,0.476,18.1,8.2,23.4,52.7,32.8,32.8,16.4,62.5,0.264,61.0,43.0,33.0,76.0,43.0,43.0,41.0,79.0,73.0,9.0,40.0,45.0,23.0
Isaias Tejeda,593471,CAM,119,100,C,43,False,0.791,0.25,0.361,0.43,19.3,13.4,22.1,37.6,34.6,42.3,10.3,,0.274,61.0,39.0,62.0,61.0,47.0,86.0,34.0,3.0,80.0,36.0,15.0,,24.0
Manny Garcia,824627,CHI,315,291,OF,130,True,0.787,0.296,0.34,0.447,13.3,4.8,23.1,55.7,27.3,42.7,23.3,73.7,0.328,61.0,70.0,50.0,67.0,18.0,17.0,39.0,90.0,48.0,37.0,84.0,57.0,54.0
Roy Morales,641896,TAB,185,166,C,66,False,0.786,0.331,0.388,0.398,5.9,5.9,10.9,48.1,31.6,43.0,20.9,60.0,0.353,60.0,88.0,77.0,49.0,1.0,26.0,2.0,52.0,69.0,39.0,74.0,43.0,70.0
Nellie Rodriguez,608364,PUE,99,84,1B,36,False,0.786,0.262,0.357,0.429,36.4,10.1,44.9,39.9,26.0,50.0,20.0,,0.4,60.0,49.0,59.0,60.0,91.0,60.0,97.0,8.0,41.0,68.0,69.0,,90.0
Luis Aviles Jr.,641323,DUR,361,332,SS,154,True,0.783,0.271,0.319,0.464,21.9,6.9,28.0,53.9,35.8,43.2,14.4,76.9,0.316,60.0,54.0,37.0,71.0,58.0,34.0,62.0,85.0,85.0,40.0,30.0,63.0,45.0
Eduardo Diaz,666452,TIG,150,130,CF,61,False,0.782,0.208,0.313,0.469,24.0,10.0,33.3,48.4,39.4,27.7,9.6,100.0,0.212,60.0,22.0,32.0,73.0,68.0,59.0,82.0,54.0,90.0,5.0,13.0,88.0,9.0
Juan Uriarte,660842,DUR,141,128,C,61,False,0.782,0.25,0.305,0.477,27.0,5.7,32.6,54.5,21.7,41.3,21.7,33.3,0.294,60.0,39.0,27.0,76.0,76.0,25.0,80.0,87.0,22.0,31.0,78.0,20.0,33.0
Juan Perez,607372,MVA,324,279,IF,120,True,0.781,0.272,0.351,0.43,17.9,10.2,24.7,46.9,29.1,34.8,21.7,84.2,0.32,59.0,55.0,55.0,61.0,42.0,61.0,48.0,47.0,57.0,13.0,78.0,70.0,50.0
Yairo Muñoz,622168,LAR,224,202,3B,86,True,0.779,0.302,0.353,0.426,15.6,7.6,21.9,55.9,28.7,51.5,13.5,83.3,0.337,59.0,75.0,57.0,60.0,30.0,39.0,34.0,91.0,55.0,73.0,26.0,69.0,61.0
Freddy Galvis,520471,LAR,281,242,SS,104,True,0.775,0.269,0.345,0.43,22.4,11.0,24.2,42.1,37.6,34.9,18.3,50.0,0.328,59.0,53.0,53.0,61.0,61.0,68.0,45.0,15.0,87.0,14.0,57.0,32.0,54.0
Ciro Norzagaray,664021,PUE,82,74,SS,30,False,0.775,0.311,0.37,0.405,17.1,8.5,28.5,45.8,19.7,59.0,14.8,33.3,0.383,59.0,80.0,67.0,52.0,38.0,46.0,66.0,39.0,15.0,89.0,32.0,20.0,82.0
Francisco Peña,506747,CAM,273,236,C,92,True,0.775,0.301,0.385,0.39,12.8,10.3,17.5,46.6,27.3,43.9,18.0,,0.338,59.0,74.0,76.0,46.0,15.0,62.0,14.0,44.0,48.0,45.0,54.0,,62.0
Victor Marquez,802888,DUR,47,38,IF,13,False,0.774,0.342,0.432,0.342,17.0,12.8,20.3,37.5,18.2,60.6,18.2,50.0,0.433,58.0,92.0,96.0,33.0,37.0,82.0,26.0,3.0,10.0,91.0,55.0,32.0,95.0
Didi Gregorius,544369,LAG,318,271,SS,111,True,0.773,0.262,0.363,0.41,11.6,11.6,21.0,48.9,38.4,38.8,13.1,75.0,0.279,58.0,49.0,63.0,55.0,10.0,74.0,30.0,58.0,88.0,23.0,22.0,60.0,26.0
Jose Lizarraga,660840,QRO,59,53,C,24,False,0.769,0.283,0.316,0.453,11.9,0.0,22.4,52.4,24.5,42.9,24.5,,0.304,57.0,63.0,35.0,68.0,12.0,3.0,35.0,77.0,30.0,38.0,88.0,,39.0
Michael Robles,682841,DUR,191,164,IF,67,False,0.769,0.28,0.36,0.409,16.8,9.4,19.4,44.2,24.6,42.8,16.7,50.0,0.326,57.0,60.0,61.0,54.0,36.0,54.0,23.0,27.0,31.0,37.0,42.0,32.0,53.0
Drew Ward,608380,DUR,89,81,1B,35,False,0.769,0.284,0.337,0.432,41.6,7.9,40.7,43.4,24.4,48.9,24.4,0.0,0.476,57.0,64.0,48.0,62.0,94.0,41.0,95.0,23.0,30.0,64.0,88.0,7.0,97.0
Romer Cuadrado,660630,OAX,120,106,RF,47,False,0.768,0.236,0.325,0.443,32.5,11.7,40.0,44.7,32.8,43.3,20.9,,0.311,57.0,30.0,40.0,65.0,87.0,75.0,93.0,29.0,73.0,41.0,74.0,,43.0
Drew Stankiewicz,607733,PUE,266,232,2B,98,True,0.768,0.267,0.346,0.422,22.6,10.5,24.6,42.7,37.9,43.5,13.0,16.7,0.329,57.0,52.0,53.0,59.0,62.0,64.0,47.0,18.0,87.0,42.0,21.0,15.0,55.0
Yonathan Daza,602074,OAX,380,352,CF,148,True,0.767,0.318,0.347,0.42,13.7,3.7,18.7,55.6,24.5,56.5,16.8,80.0,0.359,56.0,83.0,53.0,58.0,21.0,12.0,19.0,90.0,30.0,85.0,44.0,65.0,73.0
Leo Heras,511428,TAB,185,158,OF,63,False,0.767,0.278,0.368,0.399,21.6,11.4,23.6,43.5,26.2,41.0,21.3,68.8,0.359,56.0,59.0,66.0,50.0,56.0,72.0,42.0,24.0,42.0,30.0,76.0,54.0,73.0
Ademar Rifaela,642488,LEO,210,188,LF,78,True,0.767,0.282,0.352,0.415,32.4,7.6,36.2,47.8,23.1,47.1,22.3,100.0,0.419,56.0,62.0,56.0,56.0,86.0,39.0,87.0,51.0,27.0,58.0,81.0,88.0,94.0
Tomás Telis,542513,AGS,231,201,C,77,True,0.766,0.313,0.383,0.383,12.6,9.1,19.0,46.3,18.0,60.7,18.0,50.0,0.358,56.0,81.0,74.0,43.0,14.0,52.0,21.0,43.0,10.0,91.0,54.0,32.0,72.0
Manuel Orduno,655212,VER,18,16,RF,6,False,0.764,0.313,0.389,0.375,16.7,5.6,22.6,44.9,23.1,61.5,7.7,,0.385,55.0,81.0,78.0,40.0,35.0,23.0,36.0,31.0,27.0,92.0,10.0,,84.0
